fid,Named,Longitude,Latitude
1,Yes,-122.043842,37.013061
1,Yes,-122.044169,37.013155
1,Yes,-122.044414,37.013206
1,Yes,-122.044793,37.013311
1,Yes,-122.044996,37.013353
1,Yes,-122.045164,37.013401
1,Yes,-122.045327,37.013436
1,Yes,-122.045510,37.013500
1,Yes,-122.045707,37.013563
1,Yes,-122.045887,37.013646
1,Yes,-122.046055,37.013806
1,Yes,-122.046108,37.013899
1,Yes,-122.046201,37.014057
1,Yes,-122.046351,37.014473
1,Yes,-122.046379,37.014533
1,Yes,-122.046402,37.014610
1,Yes,-122.046453,37.014767
1,Yes,-122.046488,37.014897
1,Yes,-122.046635,37.015232
1,Yes,-122.046821,37.015614
1,Yes,-122.046934,37.015839
1,Yes,-122.046984,37.015942
1,Yes,-122.047172,37.016199
1,Yes,-122.047313,37.016367
1,Yes,-122.047407,37.016550
1,Yes,-122.047425,37.016696
1,Yes,-122.047448,37.016865
1,Yes,-122.047488,37.016978
1,Yes,-122.047532,37.017096
1,Yes,-122.047586,37.017209
1,Yes,-122.047614,37.017269
1,Yes,-122.047652,37.017409
1,Yes,-122.047668,37.017454
1,Yes,-122.047668,37.017454
1,Yes,-122.047695,37.017526
1,Yes,-122.047923,37.017963
1,Yes,-122.047961,37.018040
1,Yes,-122.048029,37.018162
1,Yes,-122.048087,37.018274
1,Yes,-122.048116,37.018363
1,Yes,-122.048202,37.018499
1,Yes,-122.048369,37.018728
1,Yes,-122.048470,37.018855
1,Yes,-122.048602,37.019008
1,Yes,-122.048715,37.019139
1,Yes,-122.048831,37.019245
1,Yes,-122.049008,37.019415
1,Yes,-122.049232,37.019659
1,Yes,-122.049422,37.019876
1,Yes,-122.049450,37.019915
1,Yes,-122.049612,37.020079
1,Yes,-122.049681,37.020159
1,Yes,-122.049753,37.020220
1,Yes,-122.049827,37.020267
1,Yes,-122.050104,37.020494
1,Yes,-122.050273,37.020607
1,Yes,-122.050801,37.020963
1,Yes,-122.051497,37.021132
1,Yes,-122.052076,37.021044
1,Yes,-122.052596,37.020840
1,Yes,-122.052808,37.020645
1,Yes,-122.052869,37.020594
1,Yes,-122.052948,37.020516
1,Yes,-122.053006,37.020427
1,Yes,-122.053050,37.020334
1,Yes,-122.053107,37.020185
1,Yes,-122.053137,37.020117
1,Yes,-122.053187,37.019981
1,Yes,-122.053219,37.019824
1,Yes,-122.053238,37.019689
1,Yes,-122.053239,37.019634
1,Yes,-122.053239,37.019634
1,Yes,-122.053241,37.019541
1,Yes,-122.053236,37.019405
1,Yes,-122.053226,37.019312
1,Yes,-122.053059,37.018532
1,Yes,-122.053000,37.018354
1,Yes,-122.052917,37.018171
1,Yes,-122.052723,37.017822
1,Yes,-122.052667,37.017725
1,Yes,-122.052597,37.017621
1,Yes,-122.052508,37.017525
1,Yes,-122.052425,37.017423
1,Yes,-122.052358,37.017366
1,Yes,-122.052247,37.017273
1,Yes,-122.052173,37.017188
1,Yes,-122.052116,37.017108
1,Yes,-122.052081,37.016974
1,Yes,-122.052045,37.016837
1,Yes,-122.052034,37.016677
1,Yes,-122.052023,37.016480
1,Yes,-122.052025,37.016322
1,Yes,-122.052023,37.016191
1,Yes,-122.052005,37.016077
1,Yes,-122.051976,37.015939
1,Yes,-122.051940,37.015799
1,Yes,-122.051930,37.015706
1,Yes,-122.051898,37.015569
1,Yes,-122.051778,37.015345
1,Yes,-122.051675,37.015101
1,Yes,-122.051638,37.014982
1,Yes,-122.051619,37.014843
1,Yes,-122.051663,37.014750
1,Yes,-122.051792,37.014596
1,Yes,-122.051904,37.014485
1,Yes,-122.052004,37.014382
1,Yes,-122.052118,37.014336
1,Yes,-122.052283,37.014303
1,Yes,-122.052435,37.014287
1,Yes,-122.052598,37.014319
1,Yes,-122.052785,37.014364
1,Yes,-122.052931,37.014434
1,Yes,-122.053127,37.014565
1,Yes,-122.053245,37.014693
1,Yes,-122.053408,37.014857
1,Yes,-122.053589,37.014992
1,Yes,-122.053653,37.015038
1,Yes,-122.053653,37.015038
1,Yes,-122.053686,37.015062
1,Yes,-122.053839,37.015143
1,Yes,-122.053970,37.015212
1,Yes,-122.054150,37.015309
1,Yes,-122.054227,37.015352
1,Yes,-122.054505,37.015568
1,Yes,-122.054672,37.015655
1,Yes,-122.054817,37.015739
1,Yes,-122.055095,37.015854
1,Yes,-122.055253,37.015904
1,Yes,-122.055424,37.015916
1,Yes,-122.055589,37.015910
1,Yes,-122.055782,37.015889
1,Yes,-122.055973,37.015854
1,Yes,-122.056097,37.015819
1,Yes,-122.056172,37.015781
1,Yes,-122.056261,37.015718
1,Yes,-122.056316,37.015654
1,Yes,-122.056372,37.015599
1,Yes,-122.056398,37.015535
1,Yes,-122.056399,37.015442
1,Yes,-122.056361,37.015345
1,Yes,-122.056332,37.015265
1,Yes,-122.056329,37.015170
1,Yes,-122.056333,37.015073
1,Yes,-122.056339,37.014985
1,Yes,-122.056369,37.014916
1,Yes,-122.056425,37.014805
1,Yes,-122.056497,37.014706
1,Yes,-122.056552,37.014649
1,Yes,-122.056620,37.014594
1,Yes,-122.056729,37.014542
1,Yes,-122.056848,37.014516
1,Yes,-122.056955,37.014483
1,Yes,-122.057024,37.014456
1,Yes,-122.057146,37.014433
1,Yes,-122.057230,37.014415
1,Yes,-122.057333,37.014402
1,Yes,-122.057451,37.014402
1,Yes,-122.057559,37.014418
1,Yes,-122.057687,37.014448
1,Yes,-122.057814,37.014482
1,Yes,-122.057996,37.014572
1,Yes,-122.058204,37.014710
1,Yes,-122.058399,37.014838
1,Yes,-122.058697,37.015035
1,Yes,-122.058829,37.015117
1,Yes,-122.058989,37.015247
1,Yes,-122.059132,37.015381
1,Yes,-122.059221,37.015464
1,Yes,-122.059300,37.015532
1,Yes,-122.059475,37.015699
1,Yes,-122.059575,37.015803
1,Yes,-122.059734,37.015992
1,Yes,-122.059793,37.016173
1,Yes,-122.059800,37.016178
1,Yes,-122.059823,37.016412
1,Yes,-122.059823,37.016412
1,Yes,-122.059825,37.016432
1,Yes,-122.059841,37.016491
1,Yes,-122.059953,37.016693
1,Yes,-122.060225,37.017184
1,Yes,-122.060439,37.017582
1,Yes,-122.060588,37.017821
1,Yes,-122.060679,37.017925
1,Yes,-122.060714,37.017968
1,Yes,-122.060855,37.018153
1,Yes,-122.060942,37.018388
1,Yes,-122.060955,37.018706
1,Yes,-122.060911,37.018888
1,Yes,-122.060887,37.019042
1,Yes,-122.060756,37.019330
1,Yes,-122.060731,37.019429
1,Yes,-122.060705,37.019528
1,Yes,-122.060558,37.020008
1,Yes,-122.060383,37.020364
1,Yes,-122.060217,37.020641
1,Yes,-122.060132,37.020755
1,Yes,-122.060051,37.020920
1,Yes,-122.059998,37.021093
1,Yes,-122.059961,37.021302
1,Yes,-122.059956,37.021458
1,Yes,-122.060078,37.021733
1,Yes,-122.060176,37.022024
1,Yes,-122.060291,37.022319
1,Yes,-122.060295,37.022505
1,Yes,-122.060233,37.022623
1,Yes,-122.060149,37.022715
1,Yes,-122.060004,37.022780
1,Yes,-122.059844,37.022815
1,Yes,-122.059650,37.022836
1,Yes,-122.059516,37.022814
1,Yes,-122.059516,37.022814
1,Yes,-122.059465,37.022806
1,Yes,-122.059300,37.022753
1,Yes,-122.059101,37.022688
1,Yes,-122.058891,37.022611
1,Yes,-122.058657,37.022518
1,Yes,-122.058430,37.022437
1,Yes,-122.058237,37.022379
1,Yes,-122.058056,37.022332
1,Yes,-122.057857,37.022305
1,Yes,-122.057716,37.022286
1,Yes,-122.057560,37.022274
1,Yes,-122.057440,37.022308
1,Yes,-122.057294,37.022386
1,Yes,-122.057146,37.022508
1,Yes,-122.057089,37.022606
1,Yes,-122.057077,37.022711
1,Yes,-122.057094,37.022815
1,Yes,-122.057111,37.022936
1,Yes,-122.057142,37.023152
1,Yes,-122.057171,37.023190
1,Yes,-122.057245,37.023304
1,Yes,-122.057305,37.023387
1,Yes,-122.057346,37.023465
1,Yes,-122.057428,37.023520
1,Yes,-122.057695,37.023589
1,Yes,-122.057810,37.023648
1,Yes,-122.057875,37.023714
1,Yes,-122.057979,37.023898
1,Yes,-122.058087,37.024135
1,Yes,-122.058117,37.024348
1,Yes,-122.058049,37.024484
1,Yes,-122.057965,37.024552
1,Yes,-122.057878,37.024601
1,Yes,-122.057786,37.024635
1,Yes,-122.057675,37.024642
1,Yes,-122.057456,37.024611
1,Yes,-122.057373,37.024638
1,Yes,-122.057229,37.024723
1,Yes,-122.057128,37.024799
1,Yes,-122.057112,37.024880
1,Yes,-122.057146,37.024974
1,Yes,-122.057188,37.025042
1,Yes,-122.057217,37.025091
1,Yes,-122.057267,37.025211
1,Yes,-122.057283,37.025265
1,Yes,-122.057318,37.025342
1,Yes,-122.057369,37.025468
1,Yes,-122.057416,37.025590
1,Yes,-122.057477,37.025735
1,Yes,-122.057519,37.025830
1,Yes,-122.057556,37.025927
1,Yes,-122.057653,37.026099
1,Yes,-122.057708,37.026229
1,Yes,-122.057743,37.026322
1,Yes,-122.057807,37.026451
1,Yes,-122.057837,37.026510
1,Yes,-122.057855,37.026617
1,Yes,-122.057863,37.026674
1,Yes,-122.057863,37.026674
1,Yes,-122.057883,37.026801
1,Yes,-122.057944,37.027404
1,Yes,-122.057941,37.027644
1,Yes,-122.057910,37.027844
1,Yes,-122.057894,37.028046
1,Yes,-122.057885,37.028222
1,Yes,-122.057894,37.028379
1,Yes,-122.057894,37.028512
1,Yes,-122.057907,37.028649
1,Yes,-122.057903,37.028837
1,Yes,-122.057909,37.028990
1,Yes,-122.057905,37.029161
1,Yes,-122.057894,37.029258
1,Yes,-122.057850,37.029408
1,Yes,-122.057792,37.029530
1,Yes,-122.057712,37.029674
1,Yes,-122.057605,37.029845
1,Yes,-122.057476,37.029952
1,Yes,-122.057324,37.030046
1,Yes,-122.057160,37.030099
1,Yes,-122.056934,37.030159
1,Yes,-122.056799,37.030201
1,Yes,-122.056675,37.030247
1,Yes,-122.056538,37.030335
1,Yes,-122.056497,37.030358
1,Yes,-122.056392,37.030440
1,Yes,-122.056336,37.030544
1,Yes,-122.056320,37.030639
1,Yes,-122.056323,37.030758
1,Yes,-122.056344,37.030925
1,Yes,-122.056371,37.031027
1,Yes,-122.056453,37.031215
1,Yes,-122.056512,37.031405
1,Yes,-122.056582,37.031587
1,Yes,-122.056625,37.031726
1,Yes,-122.056679,37.031838
1,Yes,-122.056771,37.032002
1,Yes,-122.057024,37.032408
1,Yes,-122.057229,37.032617
1,Yes,-122.057387,37.032825
1,Yes,-122.057609,37.033035
1,Yes,-122.057609,37.033035
1,Yes,-122.057708,37.033129
1,Yes,-122.057995,37.033521
1,Yes,-122.058109,37.033654
1,Yes,-122.058268,37.033847
1,Yes,-122.058274,37.033854
1,Yes,-122.058822,37.034397
1,Yes,-122.059527,37.034851
1,Yes,-122.059558,37.034871
1,Yes,-122.059688,37.034942
1,Yes,-122.059924,37.035038
1,Yes,-122.060083,37.035089
1,Yes,-122.060307,37.035182
1,Yes,-122.060630,37.035286
1,Yes,-122.060644,37.035291
1,Yes,-122.060923,37.035432
1,Yes,-122.061210,37.035535
1,Yes,-122.061481,37.035640
1,Yes,-122.061659,37.035737
1,Yes,-122.062132,37.036067
1,Yes,-122.062294,37.036241
1,Yes,-122.062439,37.036360
1,Yes,-122.062593,37.036505
1,Yes,-122.062767,37.036636
1,Yes,-122.062920,37.036737
1,Yes,-122.063050,37.036807
1,Yes,-122.063205,37.036886
1,Yes,-122.063363,37.036952
1,Yes,-122.063542,37.037009
1,Yes,-122.063722,37.037073
1,Yes,-122.063907,37.037139
1,Yes,-122.064075,37.037231
1,Yes,-122.064167,37.037289
1,Yes,-122.064257,37.037366
1,Yes,-122.064314,37.037440
1,Yes,-122.064356,37.037552
1,Yes,-122.064359,37.037586
1,Yes,-122.064359,37.037586
1,Yes,-122.064395,37.038060
1,Yes,-122.064418,37.038207
1,Yes,-122.064433,37.038318
1,Yes,-122.064451,37.038497
1,Yes,-122.064491,37.038803
1,Yes,-122.064509,37.039069
1,Yes,-122.064536,37.039309
1,Yes,-122.064582,37.039441
1,Yes,-122.064599,37.039524
1,Yes,-122.064658,37.039597
1,Yes,-122.064773,37.039661
1,Yes,-122.064901,37.039679
1,Yes,-122.065042,37.039665
1,Yes,-122.065162,37.039633
1,Yes,-122.065395,37.039578
1,Yes,-122.065607,37.039512
1,Yes,-122.065913,37.039446
1,Yes,-122.066238,37.039356
1,Yes,-122.066562,37.039310
1,Yes,-122.066873,37.039295
1,Yes,-122.067146,37.039326
1,Yes,-122.067368,37.039384
1,Yes,-122.067614,37.039469
1,Yes,-122.067937,37.039606
1,Yes,-122.068257,37.039702
1,Yes,-122.068504,37.039739
1,Yes,-122.069365,37.039843
1,Yes,-122.069560,37.039897
1,Yes,-122.069746,37.039961
1,Yes,-122.069899,37.040030
1,Yes,-122.070008,37.040112
1,Yes,-122.070328,37.040487
1,Yes,-122.070450,37.040694
1,Yes,-122.070450,37.040694
1,Yes,-122.070455,37.040703
1,Yes,-122.070515,37.040895
1,Yes,-122.070579,37.041328
1,Yes,-122.070600,37.041529
1,Yes,-122.070637,37.041694
1,Yes,-122.070756,37.042108
1,Yes,-122.070887,37.042343
1,Yes,-122.070994,37.042481
1,Yes,-122.071285,37.042828
1,Yes,-122.071412,37.043000
1,Yes,-122.071732,37.043347
1,Yes,-122.071960,37.043689
1,Yes,-122.072035,37.043845
1,Yes,-122.072124,37.044031
1,Yes,-122.072223,37.044422
1,Yes,-122.072293,37.044832
1,Yes,-122.072303,37.045124
1,Yes,-122.072262,37.045462
1,Yes,-122.072183,37.045797
1,Yes,-122.072154,37.046110
1,Yes,-122.072122,37.046431
1,Yes,-122.072045,37.046672
1,Yes,-122.071971,37.046889
1,Yes,-122.071840,37.047036
1,Yes,-122.071720,37.047135
1,Yes,-122.071540,37.047211
1,Yes,-122.071278,37.047245
1,Yes,-122.071278,37.047245
1,Yes,-122.071154,37.047261
1,Yes,-122.070905,37.047266
1,Yes,-122.070390,37.047247
1,Yes,-122.069978,37.047228
1,Yes,-122.069734,37.047180
1,Yes,-122.069556,37.047175
1,Yes,-122.069352,37.047171
1,Yes,-122.069226,37.047190
1,Yes,-122.068963,37.047263
1,Yes,-122.068705,37.047374
1,Yes,-122.068361,37.047532
1,Yes,-122.068122,37.047702
1,Yes,-122.067963,37.047872
1,Yes,-122.067897,37.048000
1,Yes,-122.067910,37.048151
1,Yes,-122.067925,37.048275
1,Yes,-122.067961,37.048415
1,Yes,-122.067999,37.048518
1,Yes,-122.068076,37.048651
1,Yes,-122.068172,37.048765
1,Yes,-122.068271,37.048853
1,Yes,-122.068379,37.048963
1,Yes,-122.068528,37.049101
1,Yes,-122.068661,37.049201
1,Yes,-122.068799,37.049254
1,Yes,-122.068999,37.049321
1,Yes,-122.069158,37.049393
1,Yes,-122.069274,37.049459
1,Yes,-122.069412,37.049537
1,Yes,-122.069576,37.049629
1,Yes,-122.069745,37.049709
1,Yes,-122.069988,37.049880
1,Yes,-122.070263,37.050095
1,Yes,-122.070445,37.050250
1,Yes,-122.070821,37.050561
1,Yes,-122.070898,37.050644
1,Yes,-122.070914,37.050661
1,Yes,-122.070927,37.050674
1,Yes,-122.071074,37.050826
1,Yes,-122.071152,37.050899
1,Yes,-122.071188,37.050934
1,Yes,-122.071222,37.050971
1,Yes,-122.071250,37.051025
1,Yes,-122.071256,37.051037
1,Yes,-122.071256,37.051037
1,Yes,-122.071476,37.051458
1,Yes,-122.071733,37.052081
1,Yes,-122.071861,37.052362
1,Yes,-122.072028,37.052741
1,Yes,-122.072114,37.052938
1,Yes,-122.072549,37.053669
1,Yes,-122.072929,37.054372
1,Yes,-122.073183,37.054955
1,Yes,-122.073615,37.055555
1,Yes,-122.074202,37.056146
1,Yes,-122.074400,37.056357
1,Yes,-122.074491,37.056481
1,Yes,-122.074593,37.056625
1,Yes,-122.074701,37.056770
1,Yes,-122.074986,37.057119
1,Yes,-122.075109,37.057236
1,Yes,-122.075351,37.057429
1,Yes,-122.075351,37.057429
1,Yes,-122.075594,37.057622
1,Yes,-122.075708,37.057727
1,Yes,-122.075875,37.057918
1,Yes,-122.076322,37.058305
1,Yes,-122.076393,37.058349
1,Yes,-122.076465,37.058392
1,Yes,-122.076546,37.058434
1,Yes,-122.076626,37.058475
1,Yes,-122.076713,37.058513
1,Yes,-122.076825,37.058560
1,Yes,-122.076941,37.058607
1,Yes,-122.077462,37.058823
1,Yes,-122.077762,37.058940
1,Yes,-122.077908,37.058999
1,Yes,-122.077976,37.059039
1,Yes,-122.078048,37.059082
1,Yes,-122.078102,37.059120
1,Yes,-122.078153,37.059175
1,Yes,-122.078175,37.059225
1,Yes,-122.078232,37.059269
1,Yes,-122.078272,37.059313
1,Yes,-122.078301,37.059366
1,Yes,-122.078306,37.059376
1,Yes,-122.078328,37.059416
1,Yes,-122.078366,37.059500
1,Yes,-122.078415,37.059622
1,Yes,-122.078682,37.060095
1,Yes,-122.078996,37.060606
1,Yes,-122.079348,37.061209
1,Yes,-122.079510,37.061694
1,Yes,-122.079504,37.062280
1,Yes,-122.079400,37.062847
1,Yes,-122.079294,37.063283
1,Yes,-122.079294,37.063283
1,Yes,-122.079260,37.063421
1,Yes,-122.079163,37.063873
1,Yes,-122.078979,37.064409
1,Yes,-122.078936,37.064735
1,Yes,-122.078934,37.064804
1,Yes,-122.078931,37.064865
1,Yes,-122.078904,37.064925
1,Yes,-122.078862,37.064974
1,Yes,-122.078816,37.064999
1,Yes,-122.078741,37.065046
1,Yes,-122.078519,37.065174
1,Yes,-122.078281,37.065283
1,Yes,-122.078061,37.065379
1,Yes,-122.077775,37.065518
1,Yes,-122.077576,37.065638
1,Yes,-122.077437,37.065746
1,Yes,-122.077370,37.065823
1,Yes,-122.077269,37.065900
1,Yes,-122.077209,37.065970
1,Yes,-122.077061,37.066161
1,Yes,-122.076931,37.066306
1,Yes,-122.076857,37.066394
1,Yes,-122.076804,37.066495
1,Yes,-122.076776,37.066591
1,Yes,-122.076755,37.066654
1,Yes,-122.076750,37.066738
1,Yes,-122.076787,37.066824
1,Yes,-122.076843,37.066892
1,Yes,-122.076889,37.066944
1,Yes,-122.076969,37.067006
1,Yes,-122.077042,37.067035
